datetime,AQI,CO,NO,NO2,O3,SO2,PM2_5,PM10,NH3,hour,day,month,weekday,AQI_lag_1,AQI_change,AQI_rolling_avg
2026-08-30 03:00:00,2,70.64,0.05,1.18,35.02,0.9,6.99,20.53,0.0,3,30,8,6,,0.0,2.0
2026-08-30 04:00:00,1,71.37,0.13,1.16,36.15,0.96,6.5,18.09,0.0,4,30,8,6,2.0,-1.0,2.0
2026-08-30 05:00:00,1,71.14,0.17,0.98,38.45,0.94,6.11,15.69,0.0,5,30,8,6,1.0,0.0,1.5
2026-08-30 06:00:00,1,70.22,0.16,0.77,41.43,0.91,6.07,14.75,0.01,6,30,8,6,1.0,0.0,1.3333333333333333
2026-08-30 07:00:00,1,70.41,0.11,0.71,43.64,0.87,6.01,15.01,0.0,7,30,8,6,1.0,0.0,1.0
2026-08-30 08:00:00,1,70.93,0.1,0.64,45.95,0.83,5.6,15.27,0.0,8,30,8,6,1.0,0.0,1.0
2026-08-30 09:00:00,1,71.53,0.1,0.62,47.3,0.8,5.23,15.06,0.0,9,30,8,6,1.0,0.0,1.0
2026-08-30 10:00:00,1,71.7,0.09,0.63,47.55,0.76,4.97,14.52,0.0,10,30,8,6,1.0,0.0,1.0
2026-08-30 11:00:00,1,71.59,0.1,0.68,46.55,0.75,4.85,14.33,0.0,11,30,8,6,1.0,0.0,1.0
2026-08-30 12:00:00,1,71.39,0.1,0.82,44.97,0.76,4.87,14.24,0.0,12,30,8,6,1.0,0.0,1.0
2026-08-30 13:00:00,1,71.25,0.06,1.04,42.34,0.78,4.96,13.94,0.0,13,30,8,6,1.0,0.0,1.0
2026-08-30 14:00:00,1,70.82,0.0,1.22,39.14,0.81,5.28,14.17,0.0,14,30,8,6,1.0,0.0,1.0
2026-08-30 15:00:00,1,70.3,0.0,1.21,36.9,0.84,5.64,14.8,0.0,15,30,8,6,1.0,0.0,1.0
2026-08-30 16:00:00,1,69.41,0.0,1.12,35.53,0.84,5.9,15.49,0.0,16,30,8,6,1.0,0.0,1.0
2026-08-30 17:00:00,1,69.46,0.0,1.13,34.62,0.89,6.41,16.53,0.0,17,30,8,6,1.0,0.0,1.0
2026-08-30 18:00:00,1,69.24,0.0,1.16,33.76,0.91,7.01,17.74,0.0,18,30,8,6,1.0,0.0,1.0
2026-08-30 19:00:00,1,68.09,0.0,1.12,32.55,0.9,7.49,19.03,0.0,19,30,8,6,1.0,0.0,1.0
