datetime,AQI,CO,NO,NO2,O3,SO2,PM2_5,PM10,NH3
1783731600,3,67.63,0.0,0.68,38.67,0.74,14.64,61.21,0.24
1783735200,3,68.75,0.01,0.88,38.99,0.81,14.09,58.51,0.25
1783738800,3,70.31,0.06,1.07,40.05,0.9,13.57,55.94,0.23
1783742400,3,71.19,0.12,1.03,43.18,0.95,13.26,55.49,0.2
1783746000,3,71.06,0.14,0.8,47.91,0.95,12.99,53.78,0.18
1783749600,3,70.67,0.13,0.6,52.72,0.93,12.36,50.85,0.16
1783753200,2,71.1,0.11,0.5,56.66,0.88,11.5,48.63,0.14
1783756800,2,70.89,0.1,0.49,56.53,0.85,11.09,47.48,0.13
1783760400,2,70.18,0.11,0.51,53.66,0.85,11.47,49.35,0.12
1783764000,3,70.24,0.11,0.54,50.72,0.85,11.84,51.28,0.11
1783767600,3,70.4,0.1,0.66,47.93,0.86,11.95,52.08,0.12
1783771200,3,71.24,0.08,0.86,45.6,0.87,11.99,52.32,0.13
1783774800,3,71.46,0.05,1.05,42.9,0.89,12.28,54.06,0.15
1783778400,3,71.05,0.01,1.15,40.03,0.94,13.0,57.57,0.16
1783782000,3,70.46,0.0,1.09,38.37,0.98,13.47,60.38,0.17
1783785600,3,69.74,0.0,1.0,37.86,1.0,13.78,62.36,0.18
1783789200,3,69.23,0.0,0.99,37.73,1.05,14.59,68.11,0.18
1783792800,3,68.72,0.0,0.98,37.22,1.09,15.72,75.49,0.18
1783796400,3,67.99,0.0,0.92,36.69,1.06,16.66,80.66,0.18
1783800000,3,67.9,0.0,0.84,36.73,1.02,17.21,83.01,0.18
1783803600,3,68.07,0.0,0.77,37.13,0.98,17.64,85.0,0.19
1783807200,3,67.98,0.0,0.73,37.35,0.94,18.12,85.9,0.19
1783810800,3,67.8,0.0,0.71,37.24,0.91,18.36,85.91,0.2
1783814400,3,67.36,0.0,0.72,36.98,0.9,18.17,84.94,0.21
1783818000,3,67.48,0.0,0.69,37.01,0.85,18.29,86.99,0.2
1783821600,3,68.29,0.02,0.87,36.61,0.91,18.15,84.37,0.2
1783825200,3,69.45,0.11,0.96,36.77,1.0,17.96,81.9,0.18
1783828800,3,70.03,0.19,0.87,39.01,1.11,17.8,81.42,0.16
1783832400,3,69.82,0.18,0.73,42.7,1.16,17.72,82.15,0.14
1783836000,3,69.46,0.16,0.6,46.16,1.15,17.91,83.96,0.12
1783839600,3,70.12,0.12,0.53,49.39,1.06,18.6,89.99,0.07
1783843200,3,70.12,0.11,0.52,49.89,0.99,19.39,96.84,0.03
1783846800,4,69.86,0.1,0.56,48.27,0.98,19.83,100.7,0.02
1783850400,4,70.17,0.09,0.62,46.26,0.98,20.16,102.92,0.02
1783854000,4,70.45,0.08,0.74,43.73,1.0,20.23,102.34,0.02
1783857600,4,71.3,0.06,0.91,41.67,1.03,20.29,100.82,0.04
1783861200,3,71.85,0.03,1.06,40.26,1.05,20.13,98.23,0.06
1783864800,3,71.97,0.0,1.11,39.25,1.08,19.21,91.48,0.1
1783868400,3,71.69,0.0,1.06,38.53,1.1,18.13,84.06,0.13
1783872000,3,70.93,0.0,1.0,37.83,1.12,17.68,80.55,0.16
1783875600,3,70.99,0.0,1.0,37.49,1.16,18.29,82.91,0.18
1783879200,3,71.03,0.0,0.99,37.34,1.16,19.11,86.66,0.2
1783882800,3,70.53,0.0,0.93,36.99,1.12,19.62,89.18,0.2
1783886400,3,70.0,0.0,0.86,36.71,1.09,19.68,89.72,0.21
1783890000,3,69.79,0.0,0.8,36.41,1.06,19.22,87.88,0.23
